date_created,result,radiation,current,x,y,tempct,humidct,tempgw
1/1/2024,0.339628867,26409.39542,3.76981923,-0.984208333,0.023791667,21.95416667,47.41666667,20.3375
2/1/2024,0.362764551,25929.275,4.036166211,-0.984416669,0.023125,21.9,47.39583333,20.6125
3/1/2024,0.455909903,37430.10625,3.97613279,-0.984208335,0.025791667,22.17916667,46.375,20.67083333
4/1/2024,0.415720088,39435.91542,4.007672975,-0.983541665,0.0235,23.02083333,46.47916667,20.675
5/1/2024,0.546225071,65215.88625,3.853296121,-0.983083335,0.023708334,22.98333333,44.47916667,20.5875
6/1/2024,0.444609204,23955.16917,3.669800391,-0.942833339,0.022916667,22.9375,44.58333333,20.22916667
7/1/2024,0.452811014,48047.39042,3.705223183,-0.982958336,0.025083333,22.92916667,45.35416667,20.09583333
8/1/2024,0.568246515,50468.86083,4.141413927,-0.983416661,0.025791667,22.92083333,44.66666667,20.27916667
9/1/2024,0.289910832,24941.56875,4.013742487,-0.984333334,0.022458333,22.9625,44.47916667,20.2375
10/1/2024,0.390473419,24442.53583,5.39204974,-0.983999997,0.024666667,22.95833333,45.4375,20.55833333
11/1/2024,0.462072505,44906.68167,3.92416957,-0.984291673,0.022375,22.925,44.47916667,20.33333333
12/1/2024,0.450137727,22797.01583,3.936701268,-0.984041671,0.024958333,22.92916667,44.95833333,20.47083333
13/1/2024,0.295095641,20590.02417,3.588440488,-0.983625002,0.020583334,22.8875,44.72916667,20.28333333
14/1/2024,0.436792499,51401.19958,3.789168686,-0.983458335,0.024,22.95,44.47916667,20.2
15/1/2024,0.413026365,62467.97333,3.983590474,-0.983791672,0.022333334,22.96666667,46.125,20.85
16/1/2024,0.39552378,50750.35417,4.455339005,-0.983083332,0.023875,22.92083333,46.79166667,20.62916667
17/1/2024,0.378098862,49864.45417,4.423576276,-0.983041664,0.022833333,22.8,45.33333333,20.67916667
18/1/2024,0.422324634,32500.16583,3.824534833,-0.984166667,0.023583333,22.84583333,46.0625,20.50833333
19/1/2024,0.291139849,24918.575,3.975736439,-0.983249995,0.023166667,22.82083333,46.77083333,20.30416667
20/1/2024,0.377417274,46222.84333,3.82184432,-0.983458333,0.023125,22.72083333,46.25,20.21666667
21/1/2024,0.341373322,17725.63583,3.779391944,-0.983999997,0.022541667,22.7125,45.375,20.1125
22/1/2024,0.475284776,57429.80875,4.82308048,-0.982875004,0.024625,22.76666667,46.22916667,20.34166667
23/1/2024,0.395179124,37795.21833,3.935595135,-0.982666666,0.023041667,22.76666667,46.89583333,20.22916667
24/1/2024,0.500928292,34420.54375,3.981344203,-0.983625,0.023666667,22.81666667,45.02083333,20.44583333
25/1/2024,0.433459221,56741.37667,5.667255004,-0.984124996,0.023833333,22.675,45.85416667,20.40416667
26/1/2024,0.382956162,40761.4275,3.885020594,-0.98354167,0.022875,22.6375,46.41666667,24.88333333
27/1/2024,0.446637972,50818.52625,3.875734587,-0.983249999,0.023041667,22.80833333,44.70833333,20.5875
28/1/2024,0.364863265,38733.16375,3.846429944,-0.982125006,0.02275,22.825,46.29166667,20.37083333
29/1/2024,0.403623206,50307.36167,3.998607785,-0.983041666,0.021833333,22.83333333,44.9375,20.52083333
30/1/2024,0.515560493,29367.26083,3.914002766,-0.984125003,0.024541667,22.74583333,44.79166667,20.55416667
31/1/2024,0.384400173,48145.99125,5.773736417,-0.983041661,0.022583333,22.74583333,46.72916667,20.51666667
1/2/2024,0.396275574,25038.49583,3.914840351,-0.984083337,0.024666667,22.80833333,46.20833333,20.625
2/2/2024,0.504956068,66953.55417,4.060705384,-0.981875002,0.024375,22.75,46.3125,20.5375
3/2/2024,0.356584744,59461.54375,3.778036664,-0.983416667,0.023583334,22.67083333,46.52083333,20.14583333
4/2/2024,0.39776259,35261.43,3.82422331,-0.983624997,0.022291667,22.75416667,45.75,20.30416667
5/2/2024,0.329229104,59236.03042,3.829711229,-0.983916668,0.022625,22.80416667,47.14583333,20.75833333
6/2/2024,0.425657897,47918.45833,4.095372319,-0.983958331,0.023875,22.80833333,46.5,20.6625
7/2/2024,0.492323502,48716.54708,3.907555441,-0.983500004,0.022916667,22.8875,44.875,21.01666667
8/2/2024,0.466964585,110109.6075,4.246833712,-0.984083335,0.023375,22.6625,45.70833333,21.30833333
9/2/2024,0.269072351,28150.9025,5.579256862,-0.984125003,0.023708333,22.39166667,46.375,20.98333333
