,date_created,prediction,result,radiation,current,x,y,tempct,humidct,tempgw
0,2024-01-01 00:27:00,High probablity to breakdown,0.996102571,82595.52,3.540010929,-0.985000014,0.030999999,21.8,43.5,19.9
1,2024-01-01 01:27:00,Low probability to breakdown,0.418279111,21801.86,4.12737751,-0.981999993,0.017999999,21.8,42.0,19.7
2,2024-01-01 02:27:00,High probablity to breakdown,0.999650598,21053.76,3.679791927,-0.984000027,0.030999999,21.7,42.5,19.9
3,2024-01-01 03:27:00,High probablity to breakdown,0.963394225,6316.12,3.854859114,-0.985000014,0.033,21.8,46.0,20.7
4,2024-01-01 04:27:00,High probablity to breakdown,0.531758845,78090.31,3.865568161,-0.98299998,0.028999999,21.9,52.0,20.5
5,2024-01-01 05:28:00,Low probability to breakdown,0.090382725,23342.21,3.511481524,-0.986999989,0.02,22.0,51.0,19.9
6,2024-01-01 06:28:00,Low probability to breakdown,0.343728483,22025.47,3.713885307,-0.981000006,0.015,21.8,47.0,20.1
7,2024-01-01 07:28:00,Low probability to breakdown,0.191285759,41297.76,3.470326424,-0.98299998,0.016000001,22.3,42.5,20.5
8,2024-01-01 08:28:00,High probablity to breakdown,0.945921063,14913.08,3.740552425,-0.981000006,0.033,22.4,43.0,19.9
9,2024-01-01 09:28:00,Low probability to breakdown,0.071316242,28256.36,3.813635826,-0.981000006,0.024,22.4,47.0,19.8
10,2024-01-01 10:28:00,Low probability to breakdown,0.070152998,22139.0,3.826473951,-0.978999972,0.030999999,22.1,49.5,20.1
11,2024-01-01 11:28:00,Low probability to breakdown,0.135541677,4294.96,4.149763107,-0.986999989,0.023,22.1,43.0,20.8
12,2024-01-01 12:28:00,Low probability to breakdown,0.067634016,17248.86,3.772220612,-0.981999993,0.016000001,22.0,51.0,20.4
13,2024-01-01 13:28:00,Low probability to breakdown,0.082481235,20648.88,3.709813356,-0.981999993,0.028999999,21.9,52.0,20.1
14,2024-01-01 14:28:00,Low probability to breakdown,0.045662552,10818.55,3.778214216,-0.987999976,0.024,21.9,45.0,20.2
15,2024-01-01 15:28:00,Low probability to breakdown,0.092073232,20648.88,3.700387955,-0.989000022,0.028000001,21.9,53.0,20.8
16,2024-01-01 16:28:00,High probablity to breakdown,0.660215974,26512.14,3.867213964,-0.991999984,0.025,21.8,53.5,20.9
17,2024-01-01 17:28:00,Low probability to breakdown,0.155774206,41297.76,3.665183783,-0.981000006,0.02,21.9,50.5,20.9
18,2024-01-01 18:28:00,High probablity to breakdown,0.720271111,1893.72,3.680451393,-0.985000014,0.024,21.8,43.0,20.8
19,2024-01-01 19:28:00,Low probability to breakdown,0.330982864,58835.16,3.930826426,-0.990999997,0.02,21.9,52.5,21.0
20,2024-01-01 20:28:00,Low probability to breakdown,0.049388021,12030.72,3.698760033,-0.980000019,0.016000001,21.9,45.0,20.3
21,2024-01-01 21:28:00,Low probability to breakdown,0.103044182,41297.76,4.029807568,-0.987999976,0.023,21.9,45.5,20.1
22,2024-01-01 22:28:00,Low probability to breakdown,0.063803107,10631.1,3.728112936,-0.985000014,0.02,21.9,52.5,20.3
23,2024-01-01 23:28:00,Low probability to breakdown,0.022248,5835.55,3.620943069,-0.980000019,0.022,22.0,45.5,20.5
24,2024-01-02 00:28:00,High probablity to breakdown,0.653461993,12936.64,3.587058067,-0.984000027,0.030999999,21.9,44.0,19.9
25,2024-01-02 01:28:00,High probablity to breakdown,0.617704809,41297.76,3.796051979,-0.986999989,0.017999999,21.8,41.5,19.8
26,2024-01-02 02:28:00,Low probability to breakdown,0.268974245,9099.5,4.111041069,-0.986999989,0.014,21.8,49.0,19.9
27,2024-01-02 03:28:00,High probablity to breakdown,0.988943279,6344.11,3.72834444,-0.986000001,0.016000001,21.7,45.5,20.6
28,2024-01-02 04:28:00,High probablity to breakdown,0.557305336,32786.01,3.59984374,-0.984000027,0.017000001,21.8,52.0,20.5
29,2024-01-02 05:28:00,High probablity to breakdown,0.997116983,41297.76,3.500675201,-0.985000014,0.032000002,21.8,42.5,20.1
30,2024-01-02 06:28:00,High probablity to breakdown,0.502321899,81037.11,3.860832214,-0.98299998,0.018999999,22.0,47.5,20.0
31,2024-01-02 07:28:00,Low probability to breakdown,0.066815645,22845.57,3.847663164,-0.981999993,0.022,22.5,49.0,20.7
32,2024-01-02 08:28:00,Low probability to breakdown,0.146998882,18199.01,5.515649319,-0.980000019,0.01,21.9,50.0,20.4
33,2024-01-02 09:28:00,Low probability to breakdown,0.442694426,24542.67,4.217497826,-0.986999989,0.026000001,21.9,43.0,20.7
34,2024-01-02 10:28:00,Low probability to breakdown,0.087651312,12098.49,4.08204937,-0.984000027,0.027000001,21.9,46.0,20.7
35,2024-01-02 11:28:00,Low probability to breakdown,0.053268582,27183.33,5.30381012,-0.976999998,0.023,21.9,46.5,21.6
36,2024-01-02 12:28:00,Low probability to breakdown,0.069308281,25564.68,4.118533611,-0.97299999,0.024,22.0,45.5,21.2
37,2024-01-02 13:28:00,Low probability to breakdown,0.05551526,9896.23,4.325378895,-0.990999997,0.021,22.0,53.5,21.4
38,2024-01-02 14:28:00,Low probability to breakdown,0.092047334,36604.83,3.953499556,-0.989000022,0.023,22.0,46.5,20.9
39,2024-01-02 15:28:00,Low probability to breakdown,0.140513927,15790.32,3.808624983,-0.98299998,0.027000001,21.9,45.5,21.0
40,2024-01-02 16:28:00,High probablity to breakdown,0.558833539,82595.52,3.938694954,-0.980000019,0.029999999,21.9,51.5,20.7
41,2024-01-02 17:28:00,Low probability to breakdown,0.473744899,16025.99,3.649420738,-0.98299998,0.022,21.8,52.5,20.6
42,2024-01-02 18:28:00,Low probability to breakdown,0.048556864,12744.71,3.905879974,-0.989000022,0.025,21.9,50.0,21.0
43,2024-01-02 19:28:00,Low probability to breakdown,0.028218836,10900.93,4.015206337,-0.986000001,0.021,21.9,46.0,21.0
44,2024-01-02 20:28:00,Low probability to breakdown,0.038023114,12236.37,4.257176876,-0.987999976,0.024,21.9,48.0,20.5
45,2024-01-02 21:28:00,High probablity to breakdown,0.74997735,41297.76,3.956648827,-0.99000001,0.032000002,21.8,49.0,20.4
46,2024-01-02 22:28:00,Low probability to breakdown,0.06874153,17674.76,3.825938225,-0.980000019,0.024,21.9,51.0,20.5
47,2024-01-02 23:28:00,High probablity to breakdown,0.999610901,11302.54,3.962469578,-0.987999976,0.027000001,21.7,42.0,20.6
48,2024-01-03 00:28:00,Low probability to breakdown,0.056933552,16843.0,4.08787775,-0.977999985,0.024,22.0,50.0,20.1
49,2024-01-03 01:28:00,High probablity to breakdown,0.99824059,82595.52,4.206570148,-0.984000027,0.02,21.7,42.5,20.0
50,2024-01-03 02:28:00,High probablity to breakdown,0.957238317,14268.99,3.789349556,-0.986999989,0.028999999,21.8,43.5,20.2
51,2024-01-03 03:28:00,Low probability to breakdown,0.439704537,12413.2,4.055947781,-0.986999989,0.026000001,21.8,50.5,20.8
52,2024-01-03 04:28:00,High probablity to breakdown,0.558052003,26403.48,3.843320608,-0.98299998,0.026000001,21.8,51.0,20.4
53,2024-01-03 05:28:00,High probablity to breakdown,0.995784283,20069.94,4.040289879,-0.985000014,0.030999999,21.7,50.0,20.1
54,2024-01-03 06:28:00,Low probability to breakdown,0.034629196,7588.28,3.485987425,-0.981000006,0.026000001,21.9,48.0,20.1
55,2024-01-03 07:28:00,High probablity to breakdown,0.517132044,41297.76,3.888419151,-0.980000019,0.026000001,22.3,44.0,20.7
56,2024-01-03 08:28:00,Low probability to breakdown,0.283950686,38347.92,4.079609871,-0.985000014,0.025,22.0,44.0,20.2
57,2024-01-03 09:28:00,Low probability to breakdown,0.418697089,26843.54,3.707710743,-0.986999989,0.026000001,22.1,43.5,20.5
58,2024-01-03 10:28:00,Low probability to breakdown,0.102490634,21474.83,4.918338776,-0.992999971,0.027000001,22.0,46.5,21.2
59,2024-01-03 11:28:00,Low probability to breakdown,0.0496912,13591.66,4.23354578,-0.986000001,0.030999999,21.9,52.0,22.1
60,2024-01-03 12:28:00,Low probability to breakdown,0.090207607,20648.88,5.033986092,-0.990999997,0.028999999,21.9,53.5,21.6
61,2024-01-03 13:28:00,Low probability to breakdown,0.315143645,20259.28,3.945818901,-0.98299998,0.025,21.9,43.0,20.7
62,2024-01-03 14:28:00,High probablity to breakdown,0.949763894,82595.52,3.778604507,-0.984000027,0.028999999,21.9,43.0,20.5
63,2024-01-03 15:28:00,Low probability to breakdown,0.053934127,11184.81,3.756058693,-0.981999993,0.021,22.1,52.0,21.2
64,2024-01-03 16:28:00,Low probability to breakdown,0.085048467,29826.16,3.710114479,-0.986999989,0.021,22.0,48.0,21.2
65,2024-01-03 17:28:00,High probablity to breakdown,0.833275437,13134.45,3.878632784,-0.985000014,0.027000001,22.7,42.0,21.1
66,2024-01-03 18:28:00,Low probability to breakdown,0.146493167,43826.19,3.528498411,-0.981000006,0.028000001,22.8,49.0,20.6
67,2024-01-03 19:29:00,High probablity to breakdown,0.956319451,8747.38,4.05933094,-0.981000006,0.026000001,22.9,39.5,21.0
68,2024-01-03 20:29:00,High probablity to breakdown,0.941678882,134217.72,3.746782303,-0.985000014,0.013,22.9,41.0,20.6
