Index,Date Created,Temperature(°C),Humidity(%),CO2(ppm),Battery,RSSI,loRaSNR,Frequency,Radiation(uSv/h),Actual Risk
1,1/1/2024,-2.573899773,0.449567456,-0.623737079,1.35389904,1.472395074,0.138816486,0.092459112,-0.017947829,0.339628867
2,2/1/2024,-2.791576825,0.530843446,0.385352483,1.35389904,1.62461766,0.255102358,0.012381684,0.086800835,0.362764551
3,3/1/2024,-1.954315956,0.230283291,0.234583531,1.35389904,1.415006053,0.282483052,-0.2104118,-0.039187333,0.455909903
4,4/1/2024,0.795443747,0.028818076,0.474424986,1.35389904,0.577346136,0.231696573,0.0675437,-0.016190216,0.415720088
5,5/1/2024,0.686799632,-0.196974529,0.148161984,1.35389904,-0.121582264,0.073868242,0.181704732,0.031325948,0.546225071
6,6/1/2024,0.500268953,-0.27240999,-0.542990217,1.35389904,0.713318988,0.08409073,-0.068154035,-0.029563802,0.444609204
7,7/1/2024,0.493509225,-0.35598241,-0.556701328,1.35389904,1.085985324,-0.002660073,-0.103553444,-0.034791478,0.452811014
8,8/1/2024,0.515514297,-0.260490612,0.341198153,0.595028549,0.520092529,-0.010483899,0.092524134,-0.068315688,0.568246515
9,9/1/2024,0.60497481,-0.074103624,0.517552821,0.524435945,0.032980066,0.064597472,-0.14464931,0.019182789,0.289910832
10,10/1/2024,0.484496254,-0.118122444,0.323433494,0.524435945,0.172784933,0.262771488,-0.068154035,0.02562905,0.390473419
11,11/1/2024,0.455361668,-0.029585642,0.237310839,0.524435945,0.7726479,0.239456247,0.030205163,-0.050507505,0.462072505
12,12/1/2024,0.55834549,-0.10091902,0.2143466,0.524435945,0.436171748,0.161978617,-0.019625267,-0.082273603,0.450137727
13,13/1/2024,0.443937885,-0.408329971,-0.557970875,0.524435945,-0.020262944,0.269245428,0.114742912,-0.060474607,0.295095641
14,14/1/2024,0.548390654,-0.225643343,-0.588892786,0.524435945,-0.344717201,-0.198634853,0.086646178,0.014976723,0.436792499
15,15/1/2024,0.664109635,0.018503982,0.359102151,0.182209913,-0.175675582,-0.006969997,-0.07376513,0.040012127,0.413026365
16,16/1/2024,0.508610745,0.186896375,0.29772021,-0.30502715,-0.067944519,-0.028996614,0.002142664,0.034604018,0.39552378
17,17/1/2024,0.167198713,-0.026811241,0.256316761,-0.30502715,-0.310908877,0.127325787,0.122293136,0.039354256,0.378098862
18,18/1/2024,0.18932146,0.200899201,0.270884816,-0.30502715,-0.856873688,-0.050567232,0.083768429,-0.060564319,0.422324634
19,19/1/2024,0.115011721,0.117457633,0.068984847,-0.30502715,-0.841699561,-0.100846661,-0.023265274,0.001422118,0.291139849
20,20/1/2024,-0.096600657,-0.035390241,-0.563972863,-0.30502715,-0.462255076,-0.036930634,0.020218958,-0.025598507,0.377417274
21,21/1/2024,-0.147712871,-0.028276594,-0.654839122,-0.30502715,-0.152831155,-0.27263251,0.04020472,-0.079868318,0.341373322
22,22/1/2024,-0.022483354,0.151880762,0.268419778,-0.30502715,-0.270385845,-0.209826169,0.02919434,0.038585456,0.475284776
23,23/1/2024,0.020759729,0.211282249,0.513899804,-1.099193943,-0.421109626,-0.188999364,-0.091251522,0.02532415,0.395179124
24,24/1/2024,0.108204722,-0.209921735,0.302425298,-1.134490245,-0.430928427,-0.166038789,0.018322843,0.11797914,0.500928292
25,25/1/2024,-0.248251926,-0.072979625,-0.598106451,-1.134490245,-0.176663642,-0.073052778,0.058153716,-0.017714557,0.433459221
26,26/1/2024,-0.3887062,0.097112023,-0.065590717,-1.134490245,-0.650682532,-0.004362312,0.027234583,0.031409485,0.382956162
27,27/1/2024,0.085514726,-0.019412837,-0.671905199,-1.134490245,-0.287243051,-0.121708142,-0.008412375,0.023234738,0.446637972
28,28/1/2024,0.166145249,-0.065276335,-0.678128086,-1.134490245,-0.340986211,-0.289289164,-0.075908191,0.035076642,0.364863265
29,29/1/2024,0.202840916,-0.017100836,0.259532947,-1.134490245,-0.824349317,-0.322472733,-0.159602508,0.008456365,0.403623206
30,30/1/2024,-0.040318881,0.076030479,0.336566455,-1.479126319,-1.255934858,-0.087496048,0.025247223,0.015124877,0.515560493
31,31/1/2024,-0.114157243,0.258952106,0.287766022,-1.963953339,-0.89072163,-0.035654533,-0.044059332,-0.012951814,0.384400173
32,1/2/2024,-0.09702987,-0.134649702,0.615481868,1.281890201,0.461195725,-0.057706147,-0.146513073,-0.032594583,0.396275574
33,2/2/2024,-0.22349564,-0.098114287,0.412608328,1.281890201,0.328349624,-0.018562536,-0.131947344,0.098165373,0.504956068
34,3/2/2024,-0.663103873,0.141987838,-0.370555576,1.281890201,-0.015450083,0.188073593,-0.002927808,-0.101329865,0.356584744
35,4/2/2024,-0.47374744,0.106833607,-0.365602051,1.281890201,0.025621189,-0.06545332,-0.082707088,-0.052792467,0.39776259
