Date Created,Timestamp,Device ID,Radiation(uSv/h),Last Seen
1/4/2024 0:00,1711900804,rad_001,20648.88,30 days ago
1/4/2024 0:03,1711901019,rad_001,30246.24,30 days ago
1/4/2024 0:07,1711901235,rad_001,0,30 days ago
1/4/2024 0:10,1711901451,rad_001,34636.83,30 days ago
1/4/2024 0:14,1711901667,rad_001,0,30 days ago
1/4/2024 0:18,1711901882,rad_001,4082.66,30 days ago
1/4/2024 0:21,1711902098,rad_001,8801.16,30 days ago
1/4/2024 0:25,1711902313,rad_001,0,30 days ago
1/4/2024 0:28,1711902529,rad_001,11041.04,30 days ago
1/4/2024 0:32,1711902745,rad_001,26188.82,30 days ago
1/4/2024 0:36,1711902961,rad_001,21801.86,30 days ago
1/4/2024 0:39,1711903176,rad_001,8149.84,30 days ago
1/4/2024 0:43,1711903391,rad_001,0,30 days ago
1/4/2024 0:46,1711903607,rad_001,536870.91,30 days ago
1/4/2024 0:50,1711903823,rad_001,0,30 days ago
1/4/2024 0:53,1711904038,rad_001,0,30 days ago
1/4/2024 0:57,1711904254,rad_001,15907.28,30 days ago
1/4/2024 1:01,1711904469,rad_001,12632.25,30 days ago
1/4/2024 1:04,1711904685,rad_001,8504.88,30 days ago
1/4/2024 1:08,1711904900,rad_001,0,30 days ago
1/4/2024 1:11,1711905116,rad_001,0,30 days ago
1/4/2024 1:15,1711905331,rad_001,5113.05,30 days ago
1/4/2024 1:19,1711905547,rad_001,11332.36,30 days ago
1/4/2024 1:22,1711905762,rad_001,9965.12,30 days ago
1/4/2024 1:26,1711905978,rad_001,0,30 days ago
1/4/2024 1:29,1711906193,rad_001,29217.46,30 days ago
1/4/2024 1:33,1711906409,rad_001,153391.68,30 days ago
1/4/2024 1:37,1711906624,rad_001,0,30 days ago
1/4/2024 1:40,1711906840,rad_001,0,30 days ago
1/4/2024 1:44,1711907055,rad_001,107374.18,30 days ago
1/4/2024 1:47,1711907271,rad_001,51130.56,30 days ago
1/4/2024 1:51,1711907487,rad_001,14810.23,30 days ago
1/4/2024 1:55,1711907702,rad_001,20452.22,30 days ago
1/4/2024 1:58,1711907918,rad_001,5137.52,30 days ago
1/4/2024 2:02,1711908133,rad_001,0,30 days ago
1/4/2024 2:05,1711908349,rad_001,0,30 days ago
1/4/2024 2:09,1711908565,rad_001,0,30 days ago
1/4/2024 2:13,1711908780,rad_001,0,30 days ago
1/4/2024 2:16,1711908995,rad_001,16455.81,30 days ago
1/4/2024 2:20,1711909211,rad_001,13506.18,30 days ago
