Index,Date Created,Timestamp,Device ID,Radiation(uSv/h),Last Seen
1,1/1/2024,1704038489,rad_001,41297.76,31 days ago
2,1/1/2024,1704038705,rad_001,0,31 days ago
3,1/1/2024,1704038920,rad_001,41297.76,31 days ago
4,1/1/2024,1704039136,rad_001,14268.99,31 days ago
5,1/1/2024,1704039351,rad_001,12632.25,31 days ago
6,1/1/2024,1704039567,rad_001,11767.03,31 days ago
7,1/1/2024,1704039782,rad_001,15505.29,31 days ago
8,1/1/2024,1704039998,rad_001,82595.52,31 days ago
9,1/1/2024,1704040214,rad_001,29020.04,31 days ago
10,1/1/2024,1704040429,rad_001,13421.77,31 days ago
11,1/1/2024,1704040645,rad_001,536870.91,31 days ago
12,1/1/2024,1704040860,rad_001,5023.35,31 days ago
13,1/1/2024,1704041076,rad_001,0,31 days ago
14,1/1/2024,1704041292,rad_001,23216.03,31 days ago
15,1/1/2024,1704041507,rad_001,28760.94,31 days ago
16,1/1/2024,1704041723,rad_001,0,31 days ago
17,1/1/2024,1704041938,rad_001,10845.87,31 days ago
18,1/1/2024,1704042154,rad_001,0,31 days ago
19,1/1/2024,1704042369,rad_001,0,31 days ago
20,1/1/2024,1704042585,rad_001,0,31 days ago
21,1/1/2024,1704042800,rad_001,0,31 days ago
22,1/1/2024,1704043016,rad_001,13054.61,31 days ago
23,1/1/2024,1704043232,rad_001,17895.69,31 days ago
24,1/1/2024,1704043448,rad_001,21801.86,31 days ago
25,1/1/2024,1704043663,rad_001,0,31 days ago
26,1/1/2024,1704043879,rad_001,6628.03,31 days ago
27,1/1/2024,1704044094,rad_001,9850.84,31 days ago
28,1/1/2024,1704044304,rad_001,0,31 days ago
29,1/1/2024,1704044520,rad_001,10324.44,31 days ago
30,1/1/2024,1704044735,rad_001,0,31 days ago
31,1/1/2024,1704044951,rad_001,0,31 days ago
32,1/1/2024,1704045167,rad_001,119304.64,31 days ago
33,1/1/2024,1704045382,rad_001,0,31 days ago
34,1/1/2024,1704045598,rad_001,18433.33,31 days ago
35,1/1/2024,1704045813,rad_001,45691.14,31 days ago
36,1/1/2024,1704046029,rad_001,107374.18,31 days ago
37,1/1/2024,1704046244,rad_001,0,31 days ago
38,1/1/2024,1704046460,rad_001,178956.97,31 days ago
