Date Created,Data
1/1/2024,0
2/1/2024,0
3/1/2024,0
4/1/2024,0
5/1/2024,0
6/1/2024,0
7/1/2024,0
8/1/2024,0
9/1/2024,0
10/1/2024,0
11/1/2024,0
12/1/2024,0
13/1/2024,0
14/1/2024,0
15/1/2024,0
16/1/2024,0
17/1/2024,0
18/1/2024,0
19/1/2024,0
20/1/2024,0
21/1/2024,0
22/1/2024,0
23/1/2024,0
24/1/2024,0
25/1/2024,0
26/1/2024,0
27/1/2024,0
28/1/2024,0
29/1/2024,0
30/1/2024,0
31/1/2024,0
1/2/2024,0
2/2/2024,0
3/2/2024,0
4/2/2024,0
5/2/2024,1
6/2/2024,1
7/2/2024,1
8/2/2024,1
9/2/2024,1
10/2/2024,1
11/2/2024,1
12/2/2024,1
13/2/2024,1
14/2/2024,1
15/2/2024,1
16/2/2024,1
17/2/2024,1
18/2/2024,1
19/2/2024,1
20/2/2024,1
21/2/2024,1
22/2/2024,1
23/2/2024,1
24/2/2024,1
25/2/2024,1
26/2/2024,1
27/2/2024,1
28/2/2024,1
29/2/2024,1
1/3/2024,0
2/3/2024,0
3/3/2024,0
4/3/2024,0
5/3/2024,0
6/3/2024,0
7/3/2024,0
8/3/2024,0
9/3/2024,0
10/3/2024,0
11/3/2024,0
12/3/2024,0
13/3/2024,0
14/3/2024,0
15/3/2024,0
16/3/2024,0
17/3/2024,0
18/3/2024,0
19/3/2024,0
20/3/2024,0
21/3/2024,0
22/3/2024,0
23/3/2024,0
24/3/2024,0
25/3/2024,0
26/3/2024,0
27/3/2024,0
28/3/2024,0
29/3/2024,0
30/3/2024,0
31/3/2024,0
1/4/2024,0
2/4/2024,0
3/4/2024,0
4/4/2024,0
5/4/2024,0
6/4/2024,0
7/4/2024,0
8/4/2024,0
9/4/2024,0
10/4/2024,0
11/4/2024,0
12/4/2024,0
13/4/2024,0
14/4/2024,0
15/4/2024,0
16/4/2024,0
17/4/2024,0
18/4/2024,0
19/4/2024,0
20/4/2024,0
21/4/2024,0
22/4/2024,0
23/4/2024,0
24/4/2024,0
25/4/2024,0
26/4/2024,0
27/4/2024,0
28/4/2024,0
29/4/2024,0
30/4/2024,0
1/5/2024,0
2/5/2024,0
3/5/2024,0
4/5/2024,0
5/5/2024,0
6/5/2024,0
7/5/2024,0
8/5/2024,0
9/5/2024,0
10/5/2024,0
11/5/2024,0
12/5/2024,0
13/5/2024,0
14/5/2024,0
15/5/2024,0
16/5/2024,0
17/5/2024,0
18/5/2024,0
19/5/2024,0
20/5/2024,0
21/5/2024,0
22/5/2024,0
23/5/2024,0
24/5/2024,0
25/5/2024,0
26/5/2024,0
27/5/2024,0
28/5/2024,0
29/5/2024,0
30/5/2024,0
31/5/2024,0
